Epoch,MaxActionDiff,MinActionDiff,MeanActionDiff,StdActionDiff,MeanReWeightingFactor,StdReWeightingFactor,MeanMinusStd,MeanPlusStd,Loss
63500,5.704834,0.008056641,-1682.8513,2.1162815,0.9999999,3.3755956,-1684.9677,-1680.735,-1682.7543
64000,7.3637695,0.0036621094,-1683.2092,2.4667664,1,6.291283,-1685.676,-1680.7424,-1682.9872
64500,6.9987793,0.005126953,-1682.9697,2.2628102,1,6.539645,-1685.2325,-1680.7069,-1682.8557
65000,5.729248,0.03515625,-1683.2585,2.0992522,0.9999999,3.5428097,-1685.3578,-1681.1593,-1683.1118
65500,7.711792,0.04626465,-1683.3011,2.2845933,1,7.361279,-1685.5857,-1681.0166,-1683.1968
66000,6.0665283,0.013549805,-1682.6869,2.0881426,0.99999994,3.6092389,-1684.775,-1680.5988,-1682.5447
66500,5.290039,0.030517578,-1683.0681,2.1996562,1.0000001,2.6232243,-1685.2678,-1680.8684,-1682.9744
67000,8.501587,0.002319336,-1683.0006,2.4522295,1,10.44051,-1685.4529,-1680.5483,-1682.888
67500,6.9229736,0.002319336,-1682.9044,2.3299358,1,4.7978287,-1685.2344,-1680.5745,-1682.8259
68000,8.467407,0.0040283203,-1683.162,2.2613785,1.0000002,9.2935915,-1685.4233,-1680.9006,-1683.0692
68500,5.2384033,0.0064697266,-1683.2277,2.0246048,1.0000001,2.948497,-1685.2523,-1681.203,-1683.1353
69000,6.6828613,0.0024414062,-1682.9199,2.1797338,1,5.373071,-1685.0996,-1680.7402,-1682.8386
69500,9.214111,0.007080078,-1682.8816,2.4617994,1.0000001,6.3964524,-1685.3434,-1680.4198,-1682.7795
70000,6.5544434,0.0078125,-1683.0317,2.2773643,0.9999999,4.5249248,-1685.3091,-1680.7544,-1682.9604
70500,5.5877686,0.0345459,-1683.0592,2.0390534,1.0000001,3.1006625,-1685.0983,-1681.0201,-1682.9983
71000,6.118042,0.0030517578,-1682.8182,2.0890894,1.0000001,3.475457,-1684.9073,-1680.7291,-1682.7416
71500,5.1656494,0.016479492,-1682.9059,2.1446288,0.99999994,2.8164718,-1685.0505,-1680.7612,-1682.7769
72000,6.1030273,0.0034179688,-1683.1235,2.1530685,0.99999994,3.2357476,-1685.2766,-1680.9705,-1683.0627
72500,6.0665283,0.01550293,-1683.058,2.321997,0.99999994,3.486612,-1685.38,-1680.736,-1682.871
73000,10.111328,0.0012207031,-1683.2393,2.2840302,1.0000001,6.7561245,-1685.5233,-1680.9552,-1683.0001
73500,7.055786,0.0076904297,-1682.9713,2.2571478,0.99999994,4.8749785,-1685.2285,-1680.7141,-1682.9288
74000,6.8795166,0.010375977,-1682.9991,2.2023056,0.99999994,5.3805804,-1685.2014,-1680.7969,-1682.8622
74500,6.9995117,0.009521484,-1683.3015,2.1124027,1,6.4559984,-1685.414,-1681.1891,-1682.9766
75000,6.1417236,0.0010986328,-1683.2516,2.0180924,1,4.1799583,-1685.2697,-1681.2335,-1683.0913
75500,7.0183105,0.0048828125,-1683.263,2.1012309,1.0000001,6.309576,-1685.3641,-1681.1617,-1683.1937
76000,5.577759,0.010375977,-1683.1522,2.0983322,1,3.421068,-1685.2506,-1681.0538,-1683.1023
76500,6.318115,0.008544922,-1683.0603,2.3605826,0.99999994,4.151781,-1685.4209,-1680.6997,-1682.9795
